Toronto Raptors,TOR,Raptors
Detroit Pistons,DET,Pistons
Los Angeles Lakers,LAL,Lakers
Oklahoma City Thunder,OKC,Thunder
Miami Heat,MIA,Heat
Milwaukee Bucks,MIL,Bucks
San Antonio Spurs,SA,Spurs
Dallas Mavericks,DAL,Mavericks
Philadelphia 76ers,PHI,76ers
Sacramento Kings,SAC,Kings
Golden State Warriors,GS,Warriors
Portland Trail Blazers,POR,Trail Blazers
Los Angeles Clippers,LAC,Clippers
New York Knicks,NY,Knicks
Indiana Pacers,IND,Pacers
Washington Wizards,WSH,Wizards
Atlanta Hawks,ATL,Hawks
Orlando Magic,ORL,Magic
Cleveland Cavaliers,CLE,Cavaliers
Memphis Grizzlies,MEM,Grizzlies
Brooklyn Nets,BKN,Nets
Charlotte Hornets,CHA,Hornets
Houston Rockets,HOU,Rockets
New Orleans Pelicans,NO,Pelicans
Boston Celtics,BOS,Celtics
Utah Jazz,UTAH,Jazz
Minnesota Timberwolves,MIN,Timberwolves
Denver Nuggets,DEN,Nuggets
Chicago Bulls,CHI,Bulls
Phoenix Suns,PHX,Suns
